ET_ID,CVE_MUNICIPIO,total_sv_feb,total_sv_mar,total_sv_abr,total_sv_may,total_sv_ju,total_sv_jul,total_sv_ago,total_sv_sep,total_sv_oct,total_sv_nov,total_sv_dic,total_sv_total,total_sv19_total,total_sv_total,total1920,19mdp,20mdp,1920mdp
8018,8018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55000,55000,,55000,55000,,55,55
12017,12017,NA,NA,NA,NA,10000,10000,10000,10000,10000,10000,NA,60000,,60000,60000,,60,60
30001,30001,5000,5000,5000,5000,25000,NA,NA,NA,NA,NA,20000,65000,215000,65000,280000,215,65,280
7002,7002,5000,5000,5000,5000,10000,5000,5000,5000,5000,5000,10000,65000,100000,65000,165000,100,65,165
30090,30090,5000,5000,5000,5000,10000,5000,5000,5000,5000,5000,10000,65000,70000,65000,135000,70,65,135
16035,16035,NA,NA,NA,NA,5000,5000,5000,5000,5000,5000,35000,65000,,65000,65000,,65,65
16064,16064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65000,65000,,65000,65000,,65,65
23008,23008,NA,NA,NA,NA,30000,NA,NA,NA,NA,NA,40000,70000,360000,70000,430000,360,70,430
20044,20044,NA,NA,NA,NA,35000,NA,NA,NA,NA,NA,35000,70000,280000,70000,350000,280,70,350
16049,16049,NA,NA,NA,10000,10000,10000,10000,10000,10000,10000,NA,70000,,70000,70000,,70,70
21005,21005,NA,NA,NA,10000,10000,10000,10000,10000,10000,10000,NA,70000,,70000,70000,,70,70
31065,31065,NA,NA,NA,10000,10000,10000,10000,10000,10000,10000,NA,70000,,70000,70000,,70,70
30075,30075,5000,5000,5000,5000,15000,5000,5000,5000,5000,5000,15000,75000,150000,75000,225000,150,75,225
25006,25006,NA,NA,NA,5000,25000,5000,5000,5000,5000,5000,20000,75000,140000,75000,215000,140,75,215
17026,17026,NA,NA,NA,NA,NA,20000,10000,10000,10000,10000,15000,75000,,75000,75000,,75,75
14022,14022,NA,NA,NA,NA,5000,NA,NA,NA,NA,NA,80000,85000,50000,85000,135000,50,85,135
8019,8019,NA,NA,NA,NA,NA,NA,40000,NA,NA,30000,15000,85000,,85000,85000,,85,85
13081,13081,NA,NA,NA,NA,15000,15000,15000,15000,15000,15000,NA,90000,,90000,90000,,90,90
16029,16029,NA,NA,NA,10000,10000,10000,10000,10000,10000,10000,25000,95000,,95000,95000,,95,95
21126,21126,NA,NA,NA,10000,15000,15000,15000,15000,15000,15000,NA,100000,,100000,100000,,100,100
31050,31050,NA,NA,NA,NA,50000,NA,NA,NA,NA,NA,55000,105000,635000,105000,740000,635,105,740
12055,12055,NA,NA,NA,15000,15000,15000,15000,15000,15000,15000,NA,105000,,105000,105000,,105,105
30178,30178,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,110000,100000,110000,210000,100,110,210
25015,25015,NA,NA,NA,NA,NA,10000,5000,5000,5000,5000,80000,110000,,110000,110000,,110,110
30009,30009,NA,NA,NA,15000,20000,15000,15000,15000,15000,15000,5000,115000,50000,115000,165000,50,115,165
13034,13034,NA,NA,NA,NA,20000,20000,20000,20000,20000,20000,NA,120000,,120000,120000,,120,120
16022,16022,NA,NA,NA,5000,15000,15000,15000,15000,15000,15000,25000,120000,,120000,120000,,120,120
12027,12027,NA,NA,NA,NA,5000,5000,5000,5000,5000,5000,95000,125000,,125000,125000,,125,125
7101,7101,NA,NA,NA,NA,70000,NA,NA,NA,NA,NA,70000,140000,920000,140000,1060000,920,140,1060
21105,21105,10000,10000,10000,10000,25000,10000,10000,10000,10000,10000,25000,140000,250000,140000,390000,250,140,390
30135,30135,NA,NA,NA,20000,20000,20000,20000,20000,20000,20000,NA,140000,,140000,140000,,140,140
30193,30193,15000,15000,10000,10000,25000,10000,10000,10000,10000,10000,20000,145000,315000,145000,460000,315,145,460
4003,4003,NA,NA,NA,NA,70000,5000,5000,5000,5000,5000,55000,150000,935000,150000,1085000,935,150,1085
21017,21017,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,165000,160000,165000,325000,160,165,325
30056,30056,NA,NA,NA,5000,30000,30000,30000,30000,30000,30000,NA,185000,,185000,185000,,185,185
20479,20479,NA,NA,NA,NA,35000,30000,30000,30000,30000,30000,30000,215000,,215000,215000,,215,215
31002,31002,NA,NA,NA,NA,NA,60000,30000,30000,30000,30000,35000,215000,,215000,215000,,215,215
4002,4002,20000,20000,20000,20000,10000,20000,20000,20000,20000,20000,30000,220000,105000,220000,325000,105,220,325
21091,21091,NA,NA,NA,30000,30000,30000,30000,30000,30000,30000,30000,240000,,240000,240000,,240,240
21184,21184,20000,20000,20000,20000,45000,20000,20000,20000,20000,20000,35000,260000,485000,260000,745000,485,260,745
30190,30190,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,275000,275000,275000,550000,275,275,550
20172,20172,NA,NA,NA,NA,45000,45000,45000,45000,45000,45000,45000,315000,,315000,315000,,315,315
31082,31082,NA,NA,NA,NA,45000,45000,45000,45000,45000,45000,45000,315000,,315000,315000,,315,315
30197,30197,25000,25000,25000,40000,15000,40000,40000,40000,40000,40000,NA,330000,,330000,330000,,330,330
7072,7072,15000,15000,15000,15000,115000,15000,15000,15000,15000,15000,115000,365000,1095000,365000,1460000,1095,365,1460
7124,7124,15000,15000,15000,15000,25000,25000,25000,30000,30000,30000,140000,365000,60000,365000,425000,60,365,425
20204,20204,NA,NA,NA,NA,NA,NA,NA,100000,100000,100000,100000,400000,,400000,400000,,400,400
30084,30084,40000,40000,40000,40000,35000,40000,40000,40000,40000,40000,35000,430000,350000,430000,780000,350,430,780
24001,24001,NA,NA,NA,25000,40000,50000,45000,45000,45000,45000,135000,430000,,430000,430000,,430,430
20125,20125,NA,NA,NA,NA,NA,NA,NA,110000,110000,110000,105000,435000,,435000,435000,,435,435
20054,20054,NA,NA,NA,NA,60000,60000,60000,65000,65000,65000,65000,440000,,440000,440000,,440,440
30131,30131,NA,NA,NA,NA,235000,NA,NA,NA,NA,NA,235000,470000,2945000,470000,3415000,2945,470,3415
28013,28013,NA,NA,NA,NA,NA,NA,NA,120000,120000,115000,115000,470000,,470000,470000,,470,470
12049,12049,NA,NA,NA,15000,15000,145000,80000,80000,80000,70000,NA,485000,,485000,485000,,485,485
