CVE_MUNICIPIO,feb,mar,abr,may,ju,jul,ago,sep,oct,nov,dic,total
10031,995000,995000,1000000,1000000,1010000,2430000,1840000,1920000,1920000,1900000,1880000,16890000
10032,NA,NA,NA,1730000,1855000,1825000,1815000,1830000,1830000,1810000,1855000,14550000
10033,1995000,1995000,1995000,3535000,3605000,3625000,3540000,3545000,3545000,3545000,3495000,34420000
10034,7925000,7900000,7905000,7930000,8165000,11305000,9900000,9925000,9925000,9885000,9840000,100605000
10035,1000000,1000000,1000000,1845000,1990000,1995000,1995000,2000000,2000000,1950000,1925000,18700000
10037,990000,990000,990000,1950000,1965000,2010000,2000000,2000000,2000000,1970000,1955000,18820000
10038,NA,NA,NA,1200000,1290000,1275000,1275000,1275000,1275000,1275000,1375000,10240000
11030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000,10000
12001,NA,NA,NA,165000,720000,1300000,1015000,1020000,1020000,1020000,1040000,7300000
12002,NA,NA,NA,1795000,2000000,2000000,1995000,1990000,1990000,1965000,1955000,15690000
12003,NA,NA,NA,270000,845000,1045000,945000,945000,945000,940000,945000,6880000
12004,NA,NA,NA,1075000,2660000,3085000,3025000,3035000,3035000,2985000,2975000,21875000
12008,NA,NA,NA,225000,1350000,1395000,1365000,1365000,1365000,1345000,1320000,9730000
12009,NA,NA,NA,1040000,1490000,1705000,1600000,1600000,1600000,1580000,1575000,12190000
12011,NA,NA,NA,2645000,4990000,4140000,6700000,4150000,4150000,5835000,4970000,37580000
12012,NA,NA,NA,95000,100000,100000,100000,100000,100000,100000,100000,795000
12013,NA,NA,NA,470000,1375000,1610000,2165000,1435000,1435000,1865000,1625000,11980000
12017,NA,NA,NA,NA,10000,10000,10000,10000,10000,10000,NA,60000
12018,NA,NA,NA,785000,1185000,2100000,1645000,1640000,1640000,1630000,1620000,12245000
12019,NA,NA,NA,595000,1590000,1970000,1775000,1760000,1760000,1765000,1755000,12970000
12021,NA,NA,NA,1285000,2095000,2055000,3585000,2000000,2000000,3235000,2590000,18845000
12022,NA,NA,NA,200000,295000,385000,340000,340000,340000,340000,330000,2570000
12023,NA,NA,NA,1375000,1990000,2190000,2100000,2160000,2160000,2140000,2135000,16250000
12024,NA,NA,NA,1655000,2000000,2000000,1995000,1990000,1990000,1955000,1955000,15540000
12025,NA,NA,NA,1270000,2260000,3140000,2700000,2700000,2700000,2640000,2615000,20025000
12027,NA,NA,NA,NA,5000,5000,5000,5000,5000,5000,95000,125000
12028,NA,NA,NA,780000,2600000,5305000,4020000,4025000,4025000,4010000,4035000,28800000
12029,NA,NA,NA,405000,1005000,1545000,2210000,1135000,1135000,1860000,1490000,10785000
12030,NA,NA,NA,NA,380000,1060000,720000,720000,720000,715000,725000,5040000
12032,NA,NA,NA,NA,1545000,630000,6390000,365000,365000,4350000,2355000,16000000
12034,NA,NA,NA,665000,1480000,2220000,1850000,1850000,1850000,1850000,1845000,13610000
12035,NA,NA,NA,365000,590000,605000,605000,605000,605000,605000,605000,4585000
12038,NA,NA,NA,1565000,1965000,2610000,2300000,2300000,2300000,2260000,2220000,17520000
12040,NA,NA,NA,1825000,4325000,4815000,4645000,4625000,4625000,4630000,4615000,34105000
12041,NA,NA,NA,2405000,3785000,4620000,4215000,4220000,4220000,4165000,4160000,31790000
12042,NA,NA,NA,1280000,1705000,1800000,1755000,1750000,1750000,1725000,1725000,13490000
12043,NA,NA,NA,805000,3175000,4265000,6775000,3820000,3820000,5860000,4820000,33340000
12044,NA,NA,NA,625000,1480000,2515000,1995000,1995000,1995000,1975000,1960000,14540000
12045,NA,NA,NA,755000,1000000,1000000,1000000,1000000,1000000,995000,995000,7745000
12046,NA,NA,NA,1610000,2450000,2920000,2855000,2865000,2865000,2865000,2855000,21285000
12048,NA,NA,NA,4440000,4800000,4820000,4805000,4795000,4795000,4795000,4700000,37950000
12049,NA,NA,NA,15000,15000,145000,80000,80000,80000,70000,NA,485000
12050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20000,20000
12051,NA,NA,NA,345000,1025000,2715000,1870000,1865000,1865000,1850000,1850000,13385000
12052,NA,NA,NA,295000,430000,440000,435000,435000,435000,435000,435000,3340000
12053,NA,NA,NA,2230000,3345000,4520000,3980000,3980000,3980000,3940000,3940000,29915000
12054,NA,NA,NA,90000,115000,315000,215000,215000,215000,210000,205000,1580000
12055,NA,NA,NA,15000,15000,15000,15000,15000,15000,15000,NA,105000
12057,NA,NA,NA,1645000,3265000,4105000,3690000,3690000,3690000,3670000,3770000,27525000
12058,NA,NA,NA,2635000,4205000,4515000,4335000,4365000,4365000,4315000,4320000,33055000
12061,NA,NA,NA,680000,1000000,1490000,1245000,1245000,1245000,1230000,1230000,9365000
12062,NA,NA,NA,885000,2565000,2135000,4160000,1985000,1985000,3420000,2655000,19790000
12068,NA,NA,NA,1755000,2550000,2830000,2685000,2695000,2695000,2675000,2655000,20540000
12071,NA,NA,NA,740000,1775000,1980000,3605000,1645000,1645000,3095000,2360000,16845000
12074,NA,NA,NA,820000,1735000,2275000,1995000,1970000,1970000,1960000,1940000,14665000
12075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5000,5000
12077,NA,NA,NA,780000,1360000,1390000,1375000,1375000,1375000,1350000,1410000,10415000
12078,NA,NA,NA,NA,NA,NA,10000,NA,NA,10000,NA,20000
12079,NA,NA,NA,NA,NA,1895000,965000,965000,965000,930000,905000,6625000
12080,NA,NA,NA,125000,1065000,1345000,1375000,1340000,1340000,1320000,1255000,9165000
12081,NA,NA,NA,795000,1000000,1280000,1140000,1140000,1140000,1140000,1140000,8775000
13004,NA,NA,NA,NA,5000,5000,5000,5000,5000,5000,NA,30000
13011,NA,NA,NA,2450000,2780000,5100000,3940000,3935000,3935000,3915000,3915000,29970000
13015,NA,NA,NA,3505000,3760000,5290000,5000000,5085000,5085000,5070000,5045000,37840000
13018,NA,NA,NA,NA,NA,1060000,700000,725000,725000,715000,710000,4635000
13025,NA,NA,NA,2365000,3830000,6140000,4970000,4995000,4995000,4990000,4985000,37270000
13026,NA,NA,NA,600000,1170000,2830000,2000000,2000000,2000000,2000000,2000000,14600000
13028,NA,NA,NA,1405000,2125000,3875000,3045000,3080000,3080000,3075000,3080000,22765000
13030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15000,15000
13031,NA,NA,NA,NA,5000,395000,980000,1045000,1045000,1025000,1025000,5520000
13032,NA,NA,NA,NA,975000,1000000,995000,995000,995000,995000,990000,6945000
13034,NA,NA,NA,NA,20000,20000,20000,20000,20000,20000,NA,120000
13042,NA,NA,NA,NA,80000,270000,235000,235000,235000,235000,235000,1525000
13043,NA,NA,NA,1805000,2300000,4425000,3455000,3455000,3455000,3455000,3450000,25800000
13046,NA,NA,NA,3365000,4645000,5345000,4995000,4970000,4970000,4945000,4960000,38195000
13062,NA,NA,NA,2075000,3570000,5050000,5110000,5180000,5180000,5135000,5150000,36450000
13068,NA,NA,NA,840000,1150000,2740000,2180000,2180000,2180000,2165000,2165000,15600000
13071,NA,NA,NA,15000,125000,265000,235000,370000,370000,370000,370000,2120000
13073,NA,NA,NA,110000,925000,2760000,4170000,4215000,4215000,4210000,4210000,24815000
13078,NA,NA,NA,230000,575000,1950000,1345000,1350000,1350000,1345000,1340000,9485000
13079,NA,NA,NA,NA,NA,1025000,520000,520000,520000,515000,515000,3615000
13080,NA,NA,NA,690000,810000,2915000,2000000,1990000,1990000,1985000,1975000,14355000
13081,NA,NA,NA,NA,15000,15000,15000,15000,15000,15000,NA,90000
13083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5000,5000
13084,NA,NA,NA,715000,820000,2265000,1595000,1590000,1590000,1590000,1590000,11755000
14022,NA,NA,NA,NA,5000,NA,NA,NA,NA,NA,80000,85000
14061,NA,NA,NA,NA,5000,NA,NA,NA,NA,NA,5000,10000
15020,NA,NA,NA,NA,5000,NA,NA,NA,NA,NA,5000,10000
15024,NA,NA,NA,NA,5000,NA,NA,NA,NA,NA,5000,10000
15033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000,10000
15057,NA,NA,NA,NA,5000,NA,NA,NA,NA,NA,5000,10000
15058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5000,5000
15070,NA,NA,NA,NA,5000,NA,NA,NA,NA,NA,5000,10000
15109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5000,5000
16006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5000,5000
16013,NA,NA,NA,1190000,1910000,2050000,1980000,1980000,1980000,1950000,1995000,15035000
16014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000,10000
16022,NA,NA,NA,5000,15000,15000,15000,15000,15000,15000,25000,120000
16024,NA,NA,NA,NA,2465000,2440000,2395000,2385000,2385000,2380000,2365000,16815000
16029,NA,NA,NA,10000,10000,10000,10000,10000,10000,10000,25000,95000
16033,NA,NA,NA,1875000,2485000,2505000,2490000,2550000,2550000,2540000,2550000,19545000
16035,NA,NA,NA,NA,5000,5000,5000,5000,5000,5000,35000,65000
16038,NA,NA,NA,2035000,3160000,3820000,3480000,3490000,3490000,3490000,3470000,26435000
16049,NA,NA,NA,10000,10000,10000,10000,10000,10000,10000,NA,70000
16053,NA,NA,NA,3875000,4950000,5030000,4930000,4950000,4950000,4925000,4930000,38540000
16055,NA,NA,NA,1865000,2495000,2505000,2495000,2540000,2540000,2540000,2470000,19450000
16056,NA,NA,NA,1920000,3945000,4050000,3980000,3985000,3985000,3975000,3975000,29815000
16057,NA,NA,NA,1800000,2750000,2960000,2855000,2875000,2875000,2840000,2820000,21775000
16058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5000,5000
16059,NA,NA,NA,NA,5000,5000,5000,5000,5000,5000,10000,40000
16064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65000,65000
16065,NA,NA,NA,2180000,3525000,3675000,3595000,3595000,3595000,3570000,3580000,27315000
16066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15000,15000
16077,NA,NA,NA,1265000,2730000,4235000,3485000,3490000,3490000,3490000,3370000,25555000
16082,NA,NA,NA,110000,130000,130000,130000,130000,130000,130000,135000,1025000
16087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5000,5000
16090,NA,NA,NA,1335000,3960000,4040000,3995000,3985000,3985000,3910000,3885000,29095000
16092,NA,NA,NA,1605000,3235000,3575000,3395000,3420000,3420000,3415000,3415000,25480000
16097,NA,NA,NA,1670000,3640000,4315000,3950000,4005000,4005000,3985000,3935000,29505000
16101,NA,NA,NA,1070000,2100000,2945000,2470000,2510000,2510000,2490000,2545000,18640000
16102,NA,NA,NA,1650000,3045000,4880000,3985000,3990000,3990000,3985000,3960000,29485000
17002,NA,NA,NA,105000,230000,245000,235000,235000,235000,235000,235000,1755000
17003,NA,NA,NA,875000,1530000,1630000,1570000,1570000,1570000,1565000,1510000,11820000
17004,NA,NA,NA,265000,1020000,2855000,2085000,2090000,2090000,2075000,2010000,14490000
17005,NA,NA,NA,135000,330000,975000,730000,730000,730000,720000,790000,5140000
17006,NA,NA,NA,40000,55000,60000,60000,60000,60000,60000,95000,490000
17010,NA,NA,NA,150000,420000,570000,485000,485000,485000,485000,450000,3530000
17013,NA,NA,NA,135000,440000,860000,665000,665000,665000,590000,605000,4625000
17014,NA,NA,NA,160000,450000,865000,725000,730000,730000,730000,730000,5120000
17015,NA,NA,NA,710000,1420000,3090000,2455000,2460000,2460000,2445000,2520000,17560000
17016,NA,NA,NA,165000,305000,470000,390000,390000,390000,380000,370000,2860000
